Student_ID,Z_Name,Animal_Type,Animal_Category,Zootopia_District,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Fur_Color,Paw_Size,Tail_Length_cm,Stress_Level
1,Yax Fox,Hyena,Predator,Rainforest District,,3.8,8.7,2.8,1.8,Grey,Large,125,Moderate
2,Flash Sloth,Hyena,Predator,Rainforest District,5.3,,8.0,4.2,3.0,Black,Small,98,Low
3,Kevin Ocelot,Sloth,Prey,Meadowlands,5.1,3.9,9.2,1.2,4.6,Grey,Extra Large,26,Low
4,Priscilla Cheetah,Pig,Prey,Savanna Central,6.5,2.1,7.2,1.7,6.5,Brown,Large,23,Moderate
5,Sharla Elephant,Rat,Prey,,8.1,0.6,6.5,2.2,6.6,Spotted,Small,103,High
6,Duke Rat,Sheep,Prey,,6.0,2.1,8.0,0.3,7.6,Orange,Small,24,Moderate
7,Finnick Moose,Tiger,Predator,Savanna Central,8.0,0.7,5.3,5.7,4.3,Orange,Medium,103,High
8,Claws Dingo,Rat,Prey,Sahara Square,8.4,1.8,,3.0,5.2,Black,Extra Large,7,High
9,Lionheart Fox,Sloth,Prey,Sahara Square,5.2,3.6,6.3,4.0,4.9,Golden,Small,104,Low
10,Hooves Pig,Leopard,Predator,Downtown,7.7,0.7,9.8,4.5,1.3,White,Medium,121,Moderate
11,Officer Cougar,Sloth,Prey,Tundratown,9.7,3.6,8.0,2.5,0.2,,Medium,64,High
12,Flash Hyena,Lion,Predator,Savanna Central,6.9,1.1,9.1,2.1,4.8,Striped,Small,61,Moderate
13,Flash Shrew,Gazelle,Prey,,6.4,2.2,5.7,4.8,4.9,Golden,Extra Large,125,High
14,Lionheart Dingo,Hedgehog,Prey,Rainforest District,,3.3,8.5,4.4,2.8,Black,Medium,142,Low
15,Bonnie Opossum,Leopard,Predator,Sahara Square,8.9,0.3,6.8,0.7,7.3,Striped,Large,77,High
16,Gareth Sloth,Pig,Prey,Meadowlands,6.7,0.3,6.6,2.0,8.4,Grey,Medium,62,Moderate
17,Fuzzy Moose,Sheep,Prey,Downtown,8.6,2.6,9.4,1.6,1.8,Golden,Medium,127,High
18,Sparky Rhino,Weasel,Predator,,8.8,2.2,8.9,2.0,2.1,White,Large,135,High
19,Flash Otter,Moose,Prey,Rainforest District,7.6,,5.1,0.6,9.0,Orange,Small,137,High
20,Whiskers Baboon,Zebra,Prey,Rainforest District,6.6,2.0,9.5,1.5,4.4,Striped,Small,64,Moderate
21,Stu Elephant,Lion,Predator,Sahara Square,7.1,3.0,6.1,0.5,7.3,White,Small,95,Moderate
22,Claws Coyote,Wolf,Predator,Downtown,9.6,3.2,8.2,2.6,0.4,Black,Large,101,High
23,Officer Pig,Mouse,Prey,Savanna Central,9.0,0.7,9.5,2.6,2.2,Black,Extra Large,133,High
